entry_time,exit_time,direction,entry_price,stop_loss,take_profit,status,pnl,balance
2022-10-31 05:30:00,2022-10-31 08:30:00,Sell,1643.008,1646.508,1636.008,Win,7.0,107.0
2022-10-31 10:00:00,2022-10-31 11:15:00,Sell,1637.778,1641.278,1630.778,Loss,-3.5,103.5
2022-10-31 15:00:00,2022-10-31 19:15:00,Sell,1639.577,1643.077,1632.577,Win,7.0,110.5
2022-11-01 06:45:00,2022-11-01 10:15:00,Buy,1645.347,1641.847,1652.347,Win,7.0,117.5
2022-11-01 17:45:00,2022-11-02 08:15:00,Buy,1647.998,1644.498,1654.998,Win,7.0,124.5
2022-11-02 18:00:00,2022-11-02 18:15:00,Buy,1650.847,1647.347,1657.847,Win,7.0,131.5
2022-11-02 22:30:00,2022-11-03 01:00:00,Sell,1634.998,1638.498,1627.998,Loss,-3.5,128.0
2022-11-03 01:45:00,2022-11-03 07:00:00,Sell,1638.878,1642.378,1631.878,Win,7.0,135.0
2022-11-03 07:00:00,2022-11-03 08:00:00,Sell,1633.868,1637.368,1626.868,Win,7.0,142.0
2022-11-03 09:00:00,2022-11-03 11:30:00,Sell,1624.958,1628.458,1617.958,Win,7.0,149.0
2022-11-04 04:00:00,2022-11-04 04:45:00,Buy,1639.688,1636.188,1646.688,Win,7.0,156.0
2022-11-04 04:45:00,2022-11-04 09:15:00,Buy,1643.338,1639.838,1650.338,Win,7.0,163.0
2022-11-04 10:15:00,2022-11-04 12:30:00,Buy,1647.298,1643.798,1654.298,Loss,-3.5,159.5
2022-11-04 13:00:00,2022-11-04 14:00:00,Buy,1660.948,1657.448,1667.948,Win,7.0,166.5
2022-11-04 18:15:00,2022-11-07 00:15:00,Buy,1675.358,1671.858,1682.358,Loss,-3.5,163.0
2022-11-07 09:00:00,2022-11-08 00:00:00,Buy,1676.508,1673.008,1683.508,Loss,-3.5,159.5
2022-11-08 14:15:00,2022-11-08 15:00:00,Buy,1674.708,1671.208,1681.708,Win,7.0,166.5
2022-11-08 15:45:00,2022-11-08 19:30:00,Buy,1711.757,1708.257,1718.757,Loss,-3.5,163.0
2022-11-09 08:00:00,2022-11-09 09:45:00,Buy,1712.758,1709.258,1719.758,Loss,-3.5,159.5
2022-11-09 14:00:00,2022-11-09 15:00:00,Buy,1710.328,1706.828,1717.328,Win,7.0,166.5
2022-11-10 08:00:00,2022-11-10 13:30:00,Buy,1707.327,1703.827,1714.327,Win,7.0,173.5
2022-11-10 14:45:00,2022-11-10 15:15:00,Buy,1742.448,1738.948,1749.448,Win,7.0,180.5
