تاريخ الحدث,الوقت,العملة,الحدث,التأثير
2025-11-21,2:30pm,CAD,CPI m/m,🔴 عالي
2025-11-21,2:30pm,CAD,Median CPI y/y,🔴 عالي
2025-11-21,2:30pm,CAD,Trimmed CPI y/y,🔴 عالي
2025-11-21,9:10am,USD,Unemployment Claims,🔴 عالي
2025-11-21,1:30am,AUD,Wage Price Index q/q,🔴 عالي
2025-11-21,8:00am,GBP,CPI y/y,🔴 عالي
2025-11-21,8:00pm,USD,FOMC Meeting Minutes,🔴 عالي
2025-11-21,2:30pm,USD,Average Hourly Earnings m/m,🔴 عالي
2025-11-21,2:30pm,USD,Non-Farm Employment Change,🔴 عالي
2025-11-21,2:30pm,USD,Unemployment Claims,🔴 عالي
2025-11-21,2:30pm,USD,Unemployment Rate,🔴 عالي
2025-11-21,8:00am,GBP,Retail Sales m/m,🔴 عالي
2025-11-21,9:30am,EUR,German Flash Manufacturing PMI,🔴 عالي
2025-11-21,9:30am,EUR,German Flash Services PMI,🔴 عالي
2025-11-21,10:30am,GBP,Flash Manufacturing PMI,🔴 عالي
2025-11-21,10:30am,GBP,Flash Services PMI,🔴 عالي
2025-11-21,3:45pm,USD,Flash Manufacturing PMI,🔴 عالي
2025-11-21,3:45pm,USD,Flash Services PMI,🔴 عالي
